epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.12772,1.72997,3.86121,0.95946,0.00708,0.42857,0.0133,0.00736,0.71235,3.97856,0.77862,1.429e-05,1.429e-05,1.429e-05
2,7.0933,1.46803,3.88044,0.93509,0.0082,0.47619,0.01513,0.0098,0.62251,3.96943,0.77443,4.20212e-05,4.20212e-05,4.20212e-05
3,10.3072,1.48931,3.82127,0.87297,0.00918,0.52381,0.01761,0.01059,0.99473,4.00114,0.79327,6.86206e-05,6.86206e-05,6.86206e-05
4,13.2934,0.89369,3.70512,0.84278,0.01478,0.71429,0.02654,0.01184,1.50492,4.0129,0.83373,9.40882e-05,9.40882e-05,9.40882e-05
5,16.2108,1.03325,3.59434,0.84823,0.01386,0.71429,0.02814,0.01311,1.56321,3.99517,0.84228,0.000118424,0.000118424,0.000118424
6,18.9795,1.07232,3.64379,0.82181,0.01336,0.71429,0.03241,0.01714,1.45219,3.95184,0.83225,0.000141628,0.000141628,0.000141628
7,22.0607,1.15898,3.55426,0.82144,0.01302,0.71429,0.03136,0.02059,1.14855,3.90987,0.80638,0.000163701,0.000163701,0.000163701
8,25.0931,1.05011,3.44588,0.83289,0.01532,0.7619,0.04656,0.03065,0.88119,3.90381,0.78924,0.000184641,0.000184641,0.000184641
9,28.3942,1.23713,3.5435,0.82793,0.01802,0.80952,0.09927,0.05082,0.76485,3.91712,0.77665,0.00020445,0.00020445,0.00020445
10,31.4349,0.99752,3.27498,0.83131,0.0251,0.95238,0.1052,0.05478,0.76624,3.91377,0.77115,0.000223127,0.000223127,0.000223127
11,34.4841,0.79803,3.08195,0.84334,0.02448,0.95238,0.12811,0.06005,0.83531,3.94886,0.77579,0.000240672,0.000240672,0.000240672
12,37.4223,0.9393,2.7521,0.78517,0.02448,0.95238,0.12811,0.06005,0.83531,3.94886,0.77579,0.000257086,0.000257086,0.000257086
13,40.3282,1.0739,2.90255,0.80575,0.02448,0.95238,0.16784,0.06369,0.85872,3.95298,0.77768,0.000272367,0.000272367,0.000272367
14,43.2063,0.86248,3.04713,0.79619,0.02682,1,0.10786,0.06005,0.81051,3.93482,0.77207,0.000286517,0.000286517,0.000286517
15,46.1749,0.89188,3.01723,0.80455,0.02682,1,0.10786,0.06005,0.81051,3.93482,0.77207,0.000299536,0.000299536,0.000299536
16,49.1395,1.00311,3.11418,0.80014,0.02616,1,0.10681,0.06146,0.7364,3.88805,0.76224,0.000311422,0.000311422,0.000311422
17,52.0395,1.09812,2.85661,0.83471,0.02541,1,0.10553,0.05511,0.7666,3.85108,0.76822,0.000322177,0.000322177,0.000322177
18,54.6042,0.79583,2.64012,0.76002,0.02541,1,0.10553,0.05511,0.7666,3.85108,0.76822,0.0003318,0.0003318,0.0003318
19,57.5137,0.93847,2.66849,0.78154,0.02497,1,0.10421,0.03485,0.8004,3.81547,0.77795,0.000340291,0.000340291,0.000340291
20,60.2288,0.76597,2.07441,0.81851,0.02497,1,0.10421,0.03485,0.8004,3.81547,0.77795,0.00034765,0.00034765,0.00034765
21,63.1947,0.87458,2.79484,0.83531,0.02363,1,0.03465,0.02533,0.76387,3.76806,0.77875,0.000353878,0.000353878,0.000353878
22,65.9701,0.87202,2.40363,0.79582,0.02363,1,0.03465,0.02533,0.76387,3.76806,0.77875,0.000358973,0.000358973,0.000358973
23,68.6909,0.88674,2.1147,0.79039,0.02316,1,0.12923,0.10788,0.75413,3.71049,0.77306,0.000362937,0.000362937,0.000362937
24,71.3714,0.64122,1.74003,0.83594,0.02316,1,0.12923,0.10788,0.75413,3.71049,0.77306,0.00036577,0.00036577,0.00036577
25,74.2156,0.86431,2.34719,0.83545,0.02286,1,0.23667,0.17971,0.79986,3.64611,0.77436,0.00036747,0.00036747,0.00036747
26,77.0442,0.89179,2.48275,0.77931,0.02286,1,0.23667,0.17971,0.79986,3.64611,0.77436,0.000368039,0.000368039,0.000368039
27,80.0991,1.31799,2.06545,0.83593,0.02286,1,0.23667,0.17971,0.79986,3.64611,0.77436,0.000367476,0.000367476,0.000367476
28,83.1688,1.02124,2.23454,0.79626,0.0227,1,0.31128,0.23329,0.87675,3.57766,0.7769,0.000365781,0.000365781,0.000365781
29,85.8125,0.92592,2.07503,0.81016,0.0227,1,0.31128,0.23329,0.87675,3.57766,0.7769,0.000362955,0.000362955,0.000362955
30,88.7804,0.94037,2.40411,0.80456,0.02283,1,0.4668,0.34896,0.87446,3.50469,0.77808,0.000358996,0.000358996,0.000358996
31,91.71,0.77707,1.97733,0.83309,0.02283,1,0.4668,0.34896,0.87446,3.50469,0.77808,0.000353906,0.000353906,0.000353906
32,94.5702,0.85385,1.89018,0.80523,0.02283,1,0.4668,0.34896,0.87446,3.50469,0.77808,0.000347684,0.000347684,0.000347684
33,97.627,0.88053,2.29959,0.78648,0.02319,1,0.49308,0.36721,0.84952,3.41605,0.78379,0.000340331,0.000340331,0.000340331
34,100.48,0.7606,1.77062,0.83255,0.02319,1,0.49308,0.36721,0.84952,3.41605,0.78379,0.000331845,0.000331845,0.000331845
35,103.453,0.95235,2.31014,0.83099,0.02319,1,0.49308,0.36721,0.84952,3.41605,0.78379,0.000322228,0.000322228,0.000322228
36,106.395,0.71106,1.68982,0.78747,0.02324,1,0.54811,0.42934,0.79989,3.31083,0.78308,0.000311479,0.000311479,0.000311479
37,109.047,0.71118,1.4048,0.8244,0.02324,1,0.54811,0.42934,0.79989,3.31083,0.78308,0.000299598,0.000299598,0.000299598
38,111.698,0.65082,1.32199,0.73884,0.02324,1,0.54811,0.42934,0.79989,3.31083,0.78308,0.000286586,0.000286586,0.000286586
39,114.627,1.17207,1.68869,0.81564,0.02286,1,0.59153,0.48147,0.752,3.16327,0.77775,0.000272442,0.000272442,0.000272442
40,117.276,0.89242,1.82824,0.81882,0.02286,1,0.59153,0.48147,0.752,3.16327,0.77775,0.000257166,0.000257166,0.000257166
41,120.172,0.82296,1.37241,0.85233,0.02286,1,0.59153,0.48147,0.752,3.16327,0.77775,0.000240758,0.000240758,0.000240758
42,123.433,0.72175,1.26276,0.72053,0.794,0.33333,0.77846,0.63447,0.7038,2.94714,0.77081,0.000223218,0.000223218,0.000223218
43,126.592,0.65823,1.30241,0.81496,0.794,0.33333,0.77846,0.63447,0.7038,2.94714,0.77081,0.000204547,0.000204547,0.000204547
44,129.491,0.91235,1.69171,0.79771,0.794,0.33333,0.77846,0.63447,0.7038,2.94714,0.77081,0.000184744,0.000184744,0.000184744
45,132.154,0.73344,1.13031,0.79331,0.794,0.33333,0.77846,0.63447,0.7038,2.94714,0.77081,0.000163809,0.000163809,0.000163809
46,135.07,0.62467,1.20987,0.83478,0.7959,0.33333,0.84252,0.70962,0.68371,2.69336,0.76699,0.000141743,0.000141743,0.000141743
47,138.091,0.57619,1.11331,0.78098,0.7959,0.33333,0.84252,0.70962,0.68371,2.69336,0.76699,0.000118544,0.000118544,0.000118544
48,140.984,0.56915,1.81357,0.76716,0.7959,0.33333,0.84252,0.70962,0.68371,2.69336,0.76699,9.4214e-05,9.4214e-05,9.4214e-05
49,143.816,0.74331,2.11609,0.77813,0.7959,0.33333,0.84252,0.70962,0.68371,2.69336,0.76699,6.8752e-05,6.8752e-05,6.8752e-05
50,146.672,0.74741,1.23287,0.80043,0.78814,0.43361,0.8665,0.73702,0.67043,2.43627,0.76513,4.21584e-05,4.21584e-05,4.21584e-05
