epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78137,1.75154,3.79218,0.92026,0.00693,0.42857,0.01339,0.00741,0.71309,3.98226,0.77994,1.429e-05,1.429e-05,1.429e-05
2,6.81734,1.43759,3.78529,0.89979,0.00819,0.47619,0.01493,0.00917,0.66517,3.98018,0.77999,4.20212e-05,4.20212e-05,4.20212e-05
3,9.93665,0.94542,3.70743,0.84678,0.0071,0.47619,0.01642,0.00893,1.20542,4.02565,0.81141,6.86206e-05,6.86206e-05,6.86206e-05
4,13.2236,0.99839,3.72439,0.85627,0.01003,0.61905,0.02078,0.01016,1.6198,4.02953,0.85525,9.40882e-05,9.40882e-05,9.40882e-05
5,16.6573,1.09808,3.61122,0.82435,0.01032,0.66667,0.02381,0.01285,1.58847,4.00405,0.85537,0.000118424,0.000118424,0.000118424
6,19.5936,1.14227,3.5006,0.83944,0.01366,0.71429,0.02915,0.01932,1.38217,3.97745,0.83388,0.000141628,0.000141628,0.000141628
7,22.1984,1.00299,3.3585,0.81511,0.01328,0.71429,0.03079,0.02062,1.08135,3.95626,0.80489,0.000163701,0.000163701,0.000163701
8,25.3091,0.86892,3.28804,0.82635,0.01632,0.7619,0.03406,0.02517,0.82247,3.93863,0.78104,0.000184641,0.000184641,0.000184641
9,28.1157,0.8107,3.32377,0.82029,0.01641,0.7619,0.03497,0.02671,0.71596,3.93124,0.76446,0.00020445,0.00020445,0.00020445
10,31.1938,0.87896,3.12354,0.81397,0.02003,0.80952,0.04362,0.03217,0.70193,3.93961,0.76625,0.000223127,0.000223127,0.000223127
11,33.9024,0.7545,3.0143,0.79489,0.02314,0.85714,0.04684,0.03263,0.73447,3.94217,0.77041,0.000240672,0.000240672,0.000240672
12,36.5514,0.69618,2.72842,0.78445,0.02314,0.85714,0.04684,0.03263,0.73447,3.94217,0.77041,0.000257086,0.000257086,0.000257086
13,39.3525,0.67852,2.8687,0.76472,0.02602,0.90476,0.04979,0.03479,0.78318,3.92155,0.77225,0.000272367,0.000272367,0.000272367
14,42.2983,0.5922,2.54514,0.80988,0.02826,0.95238,0.0521,0.03768,0.82372,3.89296,0.77066,0.000286517,0.000286517,0.000286517
15,44.827,0.71582,2.37229,0.78477,0.02826,0.95238,0.0521,0.03768,0.82372,3.89296,0.77066,0.000299536,0.000299536,0.000299536
16,47.7939,0.75069,1.96961,0.78989,0.03059,1,0.05591,0.04027,0.82885,3.87326,0.77306,0.000311422,0.000311422,0.000311422
17,50.6761,0.65005,2.1156,0.77369,0.03043,1,0.05859,0.04283,0.77611,3.8374,0.77228,0.000322177,0.000322177,0.000322177
18,53.4709,0.7122,2.44914,0.80586,0.03043,1,0.05859,0.04283,0.77611,3.8374,0.77228,0.0003318,0.0003318,0.0003318
19,56.0911,0.62159,2.095,0.7947,0.02882,1,0.0573,0.043,0.73983,3.77472,0.76761,0.000340291,0.000340291,0.000340291
20,58.9642,0.58653,2.28609,0.78603,0.02882,1,0.0573,0.043,0.73983,3.77472,0.76761,0.00034765,0.00034765,0.00034765
21,62.0742,0.85802,1.65921,0.77544,0.02773,1,0.22797,0.16793,0.74238,3.71351,0.76143,0.000353878,0.000353878,0.000353878
22,64.836,0.69729,2.01138,0.79482,0.02773,1,0.22797,0.16793,0.74238,3.71351,0.76143,0.000358973,0.000358973,0.000358973
23,68.1194,0.64257,2.0067,0.79906,0.02718,1,0.2279,0.16126,0.72236,3.66925,0.75986,0.000362937,0.000362937,0.000362937
24,70.9588,0.66506,2.17307,0.76412,0.02718,1,0.2279,0.16126,0.72236,3.66925,0.75986,0.00036577,0.00036577,0.00036577
25,73.93,0.65318,1.45049,0.80856,0.02567,1,0.29645,0.20996,0.69819,3.58165,0.75684,0.00036747,0.00036747,0.00036747
26,76.7144,0.58466,1.33697,0.75492,0.02567,1,0.29645,0.20996,0.69819,3.58165,0.75684,0.000368039,0.000368039,0.000368039
27,79.5403,0.5863,1.47681,0.78866,0.02567,1,0.29645,0.20996,0.69819,3.58165,0.75684,0.000367476,0.000367476,0.000367476
28,82.4305,0.72407,1.91048,0.78454,0.02497,1,0.33594,0.24261,0.75565,3.44746,0.76213,0.000365781,0.000365781,0.000365781
29,85.3885,0.7932,1.92672,0.80598,0.02497,1,0.33594,0.24261,0.75565,3.44746,0.76213,0.000362955,0.000362955,0.000362955
30,88.3985,0.77925,1.88226,0.81373,0.02474,1,0.4204,0.31443,0.77615,3.29603,0.76485,0.000358996,0.000358996,0.000358996
31,91.1616,0.63392,1.17849,0.74841,0.02474,1,0.4204,0.31443,0.77615,3.29603,0.76485,0.000353906,0.000353906,0.000353906
32,93.8447,0.78332,1.30963,0.82561,0.02474,1,0.4204,0.31443,0.77615,3.29603,0.76485,0.000347684,0.000347684,0.000347684
33,96.9173,0.55801,1.12842,0.79641,0.98356,0.26667,0.7079,0.57169,0.73801,3.08887,0.76557,0.000340331,0.000340331,0.000340331
34,99.5924,0.56736,1.75511,0.77737,0.98356,0.26667,0.7079,0.57169,0.73801,3.08887,0.76557,0.000331845,0.000331845,0.000331845
35,102.284,0.54529,1.27453,0.80531,0.98356,0.26667,0.7079,0.57169,0.73801,3.08887,0.76557,0.000322228,0.000322228,0.000322228
36,105.173,0.61954,1.78547,0.76659,1,0.32885,0.91612,0.78524,0.68132,2.86238,0.76621,0.000311479,0.000311479,0.000311479
37,107.888,0.5335,0.99015,0.80584,1,0.32885,0.91612,0.78524,0.68132,2.86238,0.76621,0.000299598,0.000299598,0.000299598
