epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.613,1.90663,4.36376,1.00629,0.01059,0.6,0.01147,0.00813,0.69051,4.00689,0.78577,1.429e-05,1.429e-05,1.429e-05
2,6.20295,1.62954,4.19086,0.95659,0.01006,0.6,0.01205,0.00879,0.61351,4.02376,0.78485,4.20212e-05,4.20212e-05,4.20212e-05
3,9.0707,1.75197,4.19916,0.90783,0.00977,0.6,0.01472,0.00937,0.74568,4.05123,0.7944,6.86206e-05,6.86206e-05,6.86206e-05
4,12.0142,0.88672,3.95137,0.85562,0.01353,0.62857,0.01919,0.00971,1.1384,4.07361,0.82207,9.40882e-05,9.40882e-05,9.40882e-05
5,14.5629,1.02391,4.02294,0.85092,0.01852,0.72381,0.02756,0.01455,1.30803,4.058,0.83781,0.000118424,0.000118424,0.000118424
6,17.3616,1.03912,3.79176,0.83091,0.0234,0.90476,0.0381,0.02118,1.40087,4.02759,0.84895,0.000141628,0.000141628,0.000141628
7,20.011,1.30716,3.80792,0.83294,0.02562,0.95238,0.05449,0.03345,1.3359,3.96167,0.8329,0.000163701,0.000163701,0.000163701
8,22.6904,1.16994,3.35038,0.85831,0.02586,0.95238,0.06276,0.04655,1.15575,3.91168,0.81533,0.000184641,0.000184641,0.000184641
9,25.3595,1.24264,3.45308,0.82963,0.02629,1,0.06439,0.04832,1.04442,3.89596,0.80351,0.00020445,0.00020445,0.00020445
10,28.2771,1.02759,3.30766,0.83871,0.02504,1,0.06936,0.05247,0.91649,3.87232,0.79364,0.000223127,0.000223127,0.000223127
11,30.9439,0.87519,2.45136,0.85388,0.02385,1,0.06978,0.05389,0.82549,3.8417,0.78679,0.000240672,0.000240672,0.000240672
12,33.7971,0.96264,1.72168,0.77651,0.02385,1,0.06978,0.05389,0.82549,3.8417,0.78679,0.000257086,0.000257086,0.000257086
13,36.3175,1.07008,2.0616,0.79633,0.02338,1,0.06891,0.05369,0.77304,3.78326,0.77672,0.000272367,0.000272367,0.000272367
14,39.2621,0.86752,2.32052,0.81434,0.02332,1,0.08951,0.06863,0.78388,3.7007,0.76658,0.000286517,0.000286517,0.000286517
15,41.5987,1.25851,2.47535,0.82401,0.02332,1,0.08951,0.06863,0.78388,3.7007,0.76658,0.000299536,0.000299536,0.000299536
16,44.3115,1.26462,3.03156,0.82154,0.02298,1,0.14313,0.10058,0.80449,3.62519,0.76722,0.000311422,0.000311422,0.000311422
17,47.2346,1.11016,1.92569,0.84483,0.02297,1,0.33917,0.2125,0.81285,3.5851,0.76794,0.000322177,0.000322177,0.000322177
18,49.7404,0.76593,1.87295,0.74337,0.02297,1,0.33917,0.2125,0.81285,3.5851,0.76794,0.0003318,0.0003318,0.0003318
19,52.3201,1.00257,1.69598,0.79972,0.02291,1,0.49198,0.31315,0.77931,3.48364,0.7676,0.000340291,0.000340291,0.000340291
20,54.8328,0.65157,1.0223,0.79413,0.02291,1,0.49198,0.31315,0.77931,3.48364,0.7676,0.00034765,0.00034765,0.00034765
21,57.9971,1.12406,4.18983,0.84742,0.02276,1,0.55066,0.40708,0.78386,3.20649,0.76521,0.000353878,0.000353878,0.000353878
22,60.7066,0.92976,2.39265,0.79935,0.02276,1,0.55066,0.40708,0.78386,3.20649,0.76521,0.000358973,0.000358973,0.000358973
23,63.2488,1.09572,1.90966,0.82295,0.02259,1,0.60522,0.45552,0.79286,3.01252,0.76989,0.000362937,0.000362937,0.000362937
24,65.7784,0.67978,1.00596,0.84185,0.02259,1,0.60522,0.45552,0.79286,3.01252,0.76989,0.00036577,0.00036577,0.00036577
25,68.3451,1.00229,2.55542,0.83038,0.02226,1,0.53522,0.39865,0.80365,2.91852,0.77208,0.00036747,0.00036747,0.00036747
26,70.7839,1.07099,2.38765,0.78127,0.02226,1,0.53522,0.39865,0.80365,2.91852,0.77208,0.000368039,0.000368039,0.000368039
27,73.0716,1.32836,1.66341,0.83522,0.02226,1,0.53522,0.39865,0.80365,2.91852,0.77208,0.000367476,0.000367476,0.000367476
28,75.7422,1.11205,1.85299,0.79462,0.43133,0.4791,0.53514,0.39158,0.81545,2.82107,0.77507,0.000365781,0.000365781,0.000365781
29,78.0978,0.87387,1.50218,0.81054,0.43133,0.4791,0.53514,0.39158,0.81545,2.82107,0.77507,0.000362955,0.000362955,0.000362955
30,81.1058,0.9787,1.87541,0.82803,0.77519,0.22677,0.53903,0.43218,0.79543,2.71655,0.77832,0.000358996,0.000358996,0.000358996
31,83.5729,0.88998,1.59643,0.85525,0.77519,0.22677,0.53903,0.43218,0.79543,2.71655,0.77832,0.000353906,0.000353906,0.000353906
32,86.048,0.93637,1.50594,0.80822,0.77519,0.22677,0.53903,0.43218,0.79543,2.71655,0.77832,0.000347684,0.000347684,0.000347684
33,88.7172,1.01322,2.2949,0.8057,0.44672,0.26667,0.5855,0.47835,0.73242,2.60667,0.77679,0.000340331,0.000340331,0.000340331
34,91.3338,0.68704,1.20598,0.82714,0.44672,0.26667,0.5855,0.47835,0.73242,2.60667,0.77679,0.000331845,0.000331845,0.000331845
35,94.0821,0.95791,2.58894,0.85405,0.44672,0.26667,0.5855,0.47835,0.73242,2.60667,0.77679,0.000322228,0.000322228,0.000322228
36,96.7909,0.62701,1.2805,0.79238,0.44114,0.33333,0.5855,0.47499,0.69273,2.48186,0.77381,0.000311479,0.000311479,0.000311479
37,99.2985,0.58024,1.01132,0.81409,0.44114,0.33333,0.5855,0.47499,0.69273,2.48186,0.77381,0.000299598,0.000299598,0.000299598
38,101.808,0.70588,0.97862,0.76398,0.44114,0.33333,0.5855,0.47499,0.69273,2.48186,0.77381,0.000286586,0.000286586,0.000286586
39,104.492,1.13504,1.36276,0.81812,0.53254,0.62395,0.58142,0.4604,0.71202,2.41363,0.77539,0.000272442,0.000272442,0.000272442
40,106.936,0.90228,1.56793,0.82412,0.53254,0.62395,0.58142,0.4604,0.71202,2.41363,0.77539,0.000257166,0.000257166,0.000257166
41,109.361,0.62831,1.31884,0.84579,0.53254,0.62395,0.58142,0.4604,0.71202,2.41363,0.77539,0.000240758,0.000240758,0.000240758
42,112.182,0.66015,0.95831,0.68924,0.53632,0.69264,0.55303,0.4393,0.71895,2.28272,0.77709,0.000223218,0.000223218,0.000223218
43,114.731,0.62443,0.97944,0.81548,0.53632,0.69264,0.55303,0.4393,0.71895,2.28272,0.77709,0.000204547,0.000204547,0.000204547
44,117.055,0.97057,2.16357,0.79325,0.53632,0.69264,0.55303,0.4393,0.71895,2.28272,0.77709,0.000184744,0.000184744,0.000184744
45,119.466,0.75991,0.88376,0.77816,0.53632,0.69264,0.55303,0.4393,0.71895,2.28272,0.77709,0.000163809,0.000163809,0.000163809
46,122.137,0.54522,0.94163,0.82511,0.54223,0.76723,0.64462,0.51859,0.71079,2.14923,0.77725,0.000141743,0.000141743,0.000141743
47,124.451,0.5787,0.90189,0.78578,0.54223,0.76723,0.64462,0.51859,0.71079,2.14923,0.77725,0.000118544,0.000118544,0.000118544
48,127.063,0.62194,1.73808,0.77175,0.54223,0.76723,0.64462,0.51859,0.71079,2.14923,0.77725,9.4214e-05,9.4214e-05,9.4214e-05
49,129.387,0.70044,2.21199,0.79573,0.54223,0.76723,0.64462,0.51859,0.71079,2.14923,0.77725,6.8752e-05,6.8752e-05,6.8752e-05
50,132.114,0.61244,0.94857,0.787,0.54051,0.79513,0.66505,0.53871,0.68775,2.00647,0.77617,4.21584e-05,4.21584e-05,4.21584e-05
