epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.39995,2.18323,4.13834,0.99935,0.00594,0.29524,0.00705,0.00353,0.87972,4.12922,0.76031,1.429e-05,1.429e-05,1.429e-05
2,3.46357,1.77748,4.15948,0.97275,0.01075,0.50476,0.01565,0.00809,0.74936,4.10634,0.74521,4.20212e-05,4.20212e-05,4.20212e-05
3,5.40025,1.34844,4.10805,0.85026,0.0125,0.55238,0.02277,0.01083,1.08049,4.112,0.75901,6.86206e-05,6.86206e-05,6.86206e-05
4,7.51737,1.11709,4.03425,0.78655,0.01566,0.66667,0.03309,0.00918,1.65062,4.09833,0.80316,9.40882e-05,9.40882e-05,9.40882e-05
5,9.20018,1.22467,3.84483,0.85634,0.01864,0.7619,0.04518,0.01125,1.79234,4.07876,0.81207,0.000118424,0.000118424,0.000118424
6,10.8168,1.47102,3.78066,0.86644,0.01967,0.80952,0.04738,0.01501,1.79856,4.0446,0.81198,0.000141628,0.000141628,0.000141628
7,12.517,1.5179,3.61664,0.8511,0.02115,0.90476,0.05714,0.0245,1.62555,3.98799,0.79626,0.000163701,0.000163701,0.000163701
8,14.3705,1.3331,3.42693,0.8293,0.0212,0.90476,0.0531,0.0326,1.3037,3.91206,0.7782,0.000184641,0.000184641,0.000184641
9,16.5185,1.00257,3.32729,0.83754,0.02115,0.90476,0.05285,0.03862,1.02752,3.85448,0.75879,0.00020445,0.00020445,0.00020445
10,18.1998,0.85827,2.90443,0.79332,0.02248,1,0.0562,0.04133,0.87642,3.8085,0.73014,0.000223127,0.000223127,0.000223127
11,19.5581,0.92013,2.71646,0.79214,0.02214,1,0.05831,0.04231,0.8921,3.75734,0.72432,0.000240672,0.000240672,0.000240672
12,20.9169,1.1481,2.10361,0.82617,0.02214,1,0.05831,0.04231,0.8921,3.75734,0.72432,0.000257086,0.000257086,0.000257086
13,22.3667,0.98695,2.54772,0.78244,0.02181,1,0.06229,0.04132,0.90606,3.69929,0.73206,0.000272367,0.000272367,0.000272367
14,23.8395,0.84331,1.88221,0.82096,0.02174,1,0.23331,0.12055,0.90495,3.61407,0.73007,0.000286517,0.000286517,0.000286517
15,25.3,0.83423,1.62059,0.82052,0.02174,1,0.23331,0.12055,0.90495,3.61407,0.73007,0.000299536,0.000299536,0.000299536
16,26.7999,1.03507,1.52369,0.80745,0.0216,1,0.29853,0.1934,0.91252,3.46122,0.72552,0.000311422,0.000311422,0.000311422
17,28.1693,0.77076,1.23662,0.80028,0.02147,1,0.34348,0.25163,0.90406,3.31063,0.73568,0.000322177,0.000322177,0.000322177
18,29.45,0.86376,1.9765,0.76836,0.02147,1,0.34348,0.25163,0.90406,3.31063,0.73568,0.0003318,0.0003318,0.0003318
19,30.8028,0.76565,1.3782,0.77547,0.02139,1,0.43455,0.32328,0.89019,3.19066,0.74375,0.000340291,0.000340291,0.000340291
20,32.2838,0.83068,2.01498,0.77304,0.02139,1,0.43455,0.32328,0.89019,3.19066,0.74375,0.00034765,0.00034765,0.00034765
21,33.7211,0.98549,1.52436,0.81348,0.02127,1,0.48425,0.35963,0.86886,3.02476,0.73771,0.000353878,0.000353878,0.000353878
22,34.9416,0.94044,2.11967,0.78188,0.02127,1,0.48425,0.35963,0.86886,3.02476,0.73771,0.000358973,0.000358973,0.000358973
23,36.2665,0.82877,1.96228,0.75698,0.02126,1,0.55527,0.43303,0.86629,2.84817,0.74023,0.000362937,0.000362937,0.000362937
24,37.6507,0.80575,1.6547,0.75928,0.02126,1,0.55527,0.43303,0.86629,2.84817,0.74023,0.00036577,0.00036577,0.00036577
25,39.0665,0.78134,0.97541,0.8247,0.0552,1,0.57006,0.42375,0.81671,2.73752,0.72222,0.00036747,0.00036747,0.00036747
26,40.2499,0.7127,1.03401,0.7722,0.0552,1,0.57006,0.42375,0.81671,2.73752,0.72222,0.000368039,0.000368039,0.000368039
27,41.4344,0.6694,0.97146,0.80141,0.0552,1,0.57006,0.42375,0.81671,2.73752,0.72222,0.000367476,0.000367476,0.000367476
