epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.2368,1.69951,4.16004,0.89011,0.01619,0.66667,0.02627,0.0182,0.67205,4.03673,0.78231,1.429e-05,1.429e-05,1.429e-05
2,3.73778,1.66678,4.07153,0.93455,0.02168,0.80952,0.0349,0.02396,0.65097,4.00604,0.7829,4.20212e-05,4.20212e-05,4.20212e-05
3,5.85545,1.09923,4.04867,0.8615,0.02617,0.95238,0.04404,0.0225,1.21734,4.02842,0.81045,6.86206e-05,6.86206e-05,6.86206e-05
4,8.07421,0.95408,3.92041,0.85243,0.02528,1,0.04582,0.01874,1.7325,4.02524,0.86962,9.40882e-05,9.40882e-05,9.40882e-05
5,9.72195,1.18906,3.60715,0.83511,0.02398,1,0.04194,0.01889,1.77408,3.99472,0.87653,0.000118424,0.000118424,0.000118424
6,11.6345,1.179,3.50683,0.83687,0.0227,1,0.03882,0.0204,1.64478,3.95081,0.85882,0.000141628,0.000141628,0.000141628
7,13.4219,1.09553,3.21834,0.79307,0.02225,1,0.03712,0.02319,1.33741,3.88866,0.82376,0.000163701,0.000163701,0.000163701
8,15.2928,1.03637,3.01045,0.83124,0.02206,1,0.03663,0.02849,0.95693,3.81844,0.78536,0.000184641,0.000184641,0.000184641
9,17.6399,0.8222,2.86536,0.81268,0.02164,1,0.03677,0.02858,0.78058,3.79206,0.76817,0.00020445,0.00020445,0.00020445
10,19.6052,0.86183,2.44359,0.80459,0.02178,1,0.03989,0.03045,0.71344,3.75931,0.75984,0.000223127,0.000223127,0.000223127
11,21.2981,0.87959,2.35732,0.78271,0.02162,1,0.10207,0.07991,0.7643,3.70616,0.76628,0.000240672,0.000240672,0.000240672
12,22.9919,0.7645,1.73784,0.77407,0.02162,1,0.10207,0.07991,0.7643,3.70616,0.76628,0.000257086,0.000257086,0.000257086
13,24.7885,0.6648,2.3106,0.75705,0.02162,1,0.29215,0.18665,0.83919,3.63017,0.78015,0.000272367,0.000272367,0.000272367
14,26.4876,0.7348,1.42908,0.79794,0.02165,1,0.33774,0.20112,0.89409,3.53603,0.79108,0.000286517,0.000286517,0.000286517
15,28.2719,0.7956,1.36006,0.7933,0.02165,1,0.33774,0.20112,0.89409,3.53603,0.79108,0.000299536,0.000299536,0.000299536
16,30.0127,0.7785,1.48858,0.7852,0.02158,1,0.37778,0.22266,0.87958,3.40405,0.78679,0.000311422,0.000311422,0.000311422
17,31.7892,0.69448,1.10674,0.78112,0.02149,1,0.4851,0.31741,0.82563,3.22172,0.77687,0.000322177,0.000322177,0.000322177
18,33.4385,0.72348,2.14106,0.81075,0.02149,1,0.4851,0.31741,0.82563,3.22172,0.77687,0.0003318,0.0003318,0.0003318
19,35.2087,0.65366,1.16261,0.79126,0.02142,1,0.51855,0.3522,0.78448,3.02138,0.76941,0.000340291,0.000340291,0.000340291
20,36.7838,0.77197,1.92735,0.78677,0.02142,1,0.51855,0.3522,0.78448,3.02138,0.76941,0.00034765,0.00034765,0.00034765
21,38.4531,0.94426,1.38705,0.77606,0.27191,0.44437,0.57751,0.41152,0.80942,2.79892,0.77284,0.000353878,0.000353878,0.000353878
22,39.9885,0.87149,2.13894,0.79868,0.27191,0.44437,0.57751,0.41152,0.80942,2.79892,0.77284,0.000358973,0.000358973,0.000358973
23,41.6293,0.74808,2.07104,0.77626,0.93948,0.19049,0.58201,0.41828,0.82543,2.61165,0.77526,0.000362937,0.000362937,0.000362937
