epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.53383,1.89318,4.19403,1.03095,0.00268,0.14286,0.00246,0.00098,0.77536,4.16382,0.82197,1.429e-05,1.429e-05,1.429e-05
2,10.6919,1.6237,4.05951,0.9735,0.00447,0.2381,0.00408,0.00145,0.64553,4.15092,0.81415,4.20212e-05,4.20212e-05,4.20212e-05
3,15.7372,1.61514,4.03635,0.89584,0.00549,0.28571,0.00554,0.00087,0.99113,4.15125,0.82961,6.86206e-05,6.86206e-05,6.86206e-05
4,20.9182,0.88072,3.84068,0.85946,0.00453,0.2381,0.00386,0.00082,1.4959,4.15222,0.8795,9.40882e-05,9.40882e-05,9.40882e-05
5,25.804,1.02655,4.03774,0.83575,0.00769,0.35238,0.01185,0.00284,1.61279,4.13176,0.89145,0.000118424,0.000118424,0.000118424
6,30.7372,1.20644,3.64907,0.85235,0.00862,0.4,0.01507,0.00483,1.59142,4.10834,0.88671,0.000141628,0.000141628,0.000141628
7,35.6907,1.41443,3.53723,0.84472,0.01191,0.51429,0.02245,0.01042,1.40497,4.07097,0.86328,0.000163701,0.000163701,0.000163701
8,40.9741,1.12093,3.21616,0.85419,0.01892,0.7619,0.04127,0.01992,1.11824,4.02416,0.82513,0.000184641,0.000184641,0.000184641
9,47.032,1.34119,3.09114,0.83939,0.02075,0.90476,0.06785,0.04138,0.92108,3.96596,0.80112,0.00020445,0.00020445,0.00020445
10,52.148,1.06531,2.89723,0.83192,0.02221,1,0.07337,0.05052,0.79515,3.8931,0.7826,0.000223127,0.000223127,0.000223127
11,57.1818,0.86309,2.29722,0.8487,0.02211,1,0.08327,0.05599,0.84476,3.80834,0.78664,0.000240672,0.000240672,0.000240672
12,62.2994,1.07523,1.73662,0.79262,0.02211,1,0.08327,0.05599,0.84476,3.80834,0.78664,0.000257086,0.000257086,0.000257086
13,67.3411,0.95202,1.94998,0.79818,0.02187,1,0.08246,0.05748,0.84378,3.7052,0.78202,0.000272367,0.000272367,0.000272367
14,72.6485,0.8649,2.19016,0.80719,0.0217,1,0.29253,0.18768,0.84603,3.60142,0.77979,0.000286517,0.000286517,0.000286517
15,76.9788,0.943,2.43639,0.81324,0.0217,1,0.29253,0.18768,0.84603,3.60142,0.77979,0.000299536,0.000299536,0.000299536
16,82.0425,1.01997,2.52253,0.8025,0.02159,1,0.38789,0.24623,0.79688,3.494,0.787,0.000311422,0.000311422,0.000311422
17,87.2475,1.04851,1.78591,0.83753,0.02148,1,0.41235,0.25009,0.84626,3.34999,0.78984,0.000322177,0.000322177,0.000322177
18,91.8996,0.88668,1.6691,0.76791,0.02148,1,0.41235,0.25009,0.84626,3.34999,0.78984,0.0003318,0.0003318,0.0003318
19,97.1383,1.13899,1.54605,0.80433,0.59854,0.38095,0.40369,0.26342,0.81126,3.15579,0.77536,0.000340291,0.000340291,0.000340291
20,101.508,0.71678,1.12195,0.81131,0.59854,0.38095,0.40369,0.26342,0.81126,3.15579,0.77536,0.00034765,0.00034765,0.00034765
21,106.605,1.1121,3.14642,0.84196,0.62972,0.33333,0.42192,0.28329,0.78807,2.99514,0.76632,0.000353878,0.000353878,0.000353878
22,111.107,0.7343,1.69671,0.82304,0.62972,0.33333,0.42192,0.28329,0.78807,2.99514,0.76632,0.000358973,0.000358973,0.000358973
23,115.949,1.04909,1.76828,0.83629,0.60274,0.56983,0.52624,0.33156,0.90952,2.86761,0.78115,0.000362937,0.000362937,0.000362937
24,120.436,0.71033,1.13498,0.84748,0.60274,0.56983,0.52624,0.33156,0.90952,2.86761,0.78115,0.00036577,0.00036577,0.00036577
25,125.453,0.86124,1.85788,0.83667,0.7447,0.47619,0.63913,0.43045,0.9605,2.73772,0.78851,0.00036747,0.00036747,0.00036747
26,129.947,0.9591,1.74675,0.80004,0.7447,0.47619,0.63913,0.43045,0.9605,2.73772,0.78851,0.000368039,0.000368039,0.000368039
27,134.459,1.30095,1.62558,0.83423,0.7447,0.47619,0.63913,0.43045,0.9605,2.73772,0.78851,0.000367476,0.000367476,0.000367476
28,139.321,0.95913,1.66163,0.79131,1,0.20935,0.70812,0.53026,0.90595,2.6134,0.78504,0.000365781,0.000365781,0.000365781
29,144.152,0.95078,1.55176,0.81176,1,0.20935,0.70812,0.53026,0.90595,2.6134,0.78504,0.000362955,0.000362955,0.000362955
30,149.191,0.99881,1.84959,0.82722,1,0.23236,0.72372,0.55241,0.83288,2.54451,0.77919,0.000358996,0.000358996,0.000358996
31,153.853,0.91876,1.33561,0.84771,1,0.23236,0.72372,0.55241,0.83288,2.54451,0.77919,0.000353906,0.000353906,0.000353906
32,159.588,0.83559,1.24182,0.80982,1,0.23236,0.72372,0.55241,0.83288,2.54451,0.77919,0.000347684,0.000347684,0.000347684
33,165.175,1.0289,1.81395,0.83069,0.86488,0.28721,0.78,0.60921,0.80604,2.3782,0.77705,0.000340331,0.000340331,0.000340331
34,170.083,0.77814,1.23888,0.8278,0.86488,0.28721,0.78,0.60921,0.80604,2.3782,0.77705,0.000331845,0.000331845,0.000331845
35,174.792,1.05134,2.34475,0.85779,0.86488,0.28721,0.78,0.60921,0.80604,2.3782,0.77705,0.000322228,0.000322228,0.000322228
36,179.966,0.7195,1.27051,0.79688,0.85497,0.63373,0.86059,0.69984,0.76022,2.1733,0.77563,0.000311479,0.000311479,0.000311479
37,184.521,0.65087,1.03942,0.8253,0.85497,0.63373,0.86059,0.69984,0.76022,2.1733,0.77563,0.000299598,0.000299598,0.000299598
38,189.274,0.66718,1.05847,0.74629,0.85497,0.63373,0.86059,0.69984,0.76022,2.1733,0.77563,0.000286586,0.000286586,0.000286586
39,194.12,1.116,1.06248,0.81066,0.79959,0.76189,0.93219,0.76359,0.73084,2.05685,0.77848,0.000272442,0.000272442,0.000272442
40,198.908,0.82885,1.36589,0.82732,0.79959,0.76189,0.93219,0.76359,0.73084,2.05685,0.77848,0.000257166,0.000257166,0.000257166
41,203.615,0.83499,1.5651,0.84746,0.79959,0.76189,0.93219,0.76359,0.73084,2.05685,0.77848,0.000240758,0.000240758,0.000240758
42,208.876,0.60677,1.04215,0.69238,0.7774,0.77221,0.95886,0.79753,0.75224,1.91405,0.78301,0.000223218,0.000223218,0.000223218
43,213.578,0.6036,1.03065,0.7992,0.7774,0.77221,0.95886,0.79753,0.75224,1.91405,0.78301,0.000204547,0.000204547,0.000204547
44,218.417,0.82065,1.40675,0.80149,0.7774,0.77221,0.95886,0.79753,0.75224,1.91405,0.78301,0.000184744,0.000184744,0.000184744
45,223.132,0.65744,0.97263,0.77713,0.7774,0.77221,0.95886,0.79753,0.75224,1.91405,0.78301,0.000163809,0.000163809,0.000163809
46,227.907,0.55076,0.93173,0.81971,0.77141,0.82449,0.96208,0.80256,0.74652,1.77842,0.78503,0.000141743,0.000141743,0.000141743
47,232.458,0.54885,0.87348,0.78595,0.77141,0.82449,0.96208,0.80256,0.74652,1.77842,0.78503,0.000118544,0.000118544,0.000118544
48,236.882,0.60111,1.26177,0.75556,0.77141,0.82449,0.96208,0.80256,0.74652,1.77842,0.78503,9.4214e-05,9.4214e-05,9.4214e-05
49,241.579,0.87429,2.76885,0.80694,0.77141,0.82449,0.96208,0.80256,0.74652,1.77842,0.78503,6.8752e-05,6.8752e-05,6.8752e-05
50,246.409,0.6833,0.97736,0.78913,0.72386,0.84849,0.965,0.80777,0.72023,1.60864,0.78592,4.21584e-05,4.21584e-05,4.21584e-05
