epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29575,1.87227,4.21194,0.96659,0.00181,0.09524,0.00132,0.00071,0.7527,4.16765,0.81824,1.429e-05,1.429e-05,1.429e-05
2,11.0777,1.6856,3.99319,0.95656,0.00184,0.09524,0.0015,0.00054,0.61821,4.1642,0.80559,4.20212e-05,4.20212e-05,4.20212e-05
3,16.407,1.04638,4.01113,0.86497,0.00547,0.28571,0.00551,0.00132,1.21272,4.15349,0.83921,6.86206e-05,6.86206e-05,6.86206e-05
4,21.7813,1.07874,3.94218,0.87864,0.00756,0.35238,0.00652,0.00183,1.7057,4.14328,0.90047,9.40882e-05,9.40882e-05,9.40882e-05
5,27.0021,1.41238,3.65471,0.87685,0.01072,0.46667,0.01309,0.00505,1.76621,4.11095,0.913,0.000118424,0.000118424,0.000118424
6,32.4634,1.49693,3.4782,0.88313,0.01537,0.67619,0.02472,0.01039,1.66505,4.05963,0.89651,0.000141628,0.000141628,0.000141628
7,37.5801,1.35667,3.2621,0.85972,0.0201,0.88571,0.04157,0.0225,1.45109,4.00868,0.86455,0.000163701,0.000163701,0.000163701
8,42.7191,1.15342,3.11463,0.87723,0.02271,1,0.05509,0.03166,1.10693,3.9669,0.8168,0.000184641,0.000184641,0.000184641
9,47.7081,0.79601,3.27022,0.81692,0.02203,1,0.06586,0.04429,0.84707,3.92877,0.78702,0.00020445,0.00020445,0.00020445
10,52.5008,0.83637,2.71168,0.81793,0.02186,1,0.07103,0.04588,0.79196,3.89245,0.78195,0.000223127,0.000223127,0.000223127
11,57.7823,0.8071,2.67416,0.80789,0.02176,1,0.07254,0.04469,0.78918,3.85031,0.77528,0.000240672,0.000240672,0.000240672
12,62.3067,1.03074,1.93751,0.81322,0.02176,1,0.07254,0.04469,0.78918,3.85031,0.77528,0.000257086,0.000257086,0.000257086
13,67.0686,0.81275,2.45338,0.79806,0.02155,1,0.07548,0.04586,0.76713,3.77346,0.77193,0.000272367,0.000272367,0.000272367
14,72.0748,0.62097,1.62248,0.80334,0.02174,1,0.1345,0.08206,0.76078,3.66121,0.77762,0.000286517,0.000286517,0.000286517
15,77.0274,0.67893,1.4462,0.78973,0.02174,1,0.1345,0.08206,0.76078,3.66121,0.77762,0.000299536,0.000299536,0.000299536
16,81.6328,0.78195,1.39487,0.79081,0.02182,1,0.34979,0.22874,0.78133,3.50586,0.77064,0.000311422,0.000311422,0.000311422
17,86.4122,0.73116,1.15744,0.78553,0.02186,1,0.38965,0.27006,0.77555,3.315,0.76382,0.000322177,0.000322177,0.000322177
18,90.9661,0.80689,2.27125,0.78915,0.02186,1,0.38965,0.27006,0.77555,3.315,0.76382,0.0003318,0.0003318,0.0003318
19,96.155,0.64899,1.18744,0.7879,0.02219,1,0.43791,0.30988,0.74559,3.09888,0.766,0.000340291,0.000340291,0.000340291
20,100.679,0.66097,1.5853,0.77137,0.02219,1,0.43791,0.30988,0.74559,3.09888,0.766,0.00034765,0.00034765,0.00034765
21,105.852,0.81061,1.30044,0.75888,0.6559,0.42857,0.72702,0.54836,0.75758,2.86958,0.77134,0.000353878,0.000353878,0.000353878
22,110.486,0.65155,1.50062,0.78402,0.6559,0.42857,0.72702,0.54836,0.75758,2.86958,0.77134,0.000358973,0.000358973,0.000358973
23,115.505,0.59758,1.5159,0.82614,0.9076,0.28571,0.81021,0.58614,0.81959,2.68652,0.77987,0.000362937,0.000362937,0.000362937
24,120.326,0.90533,2.37698,0.78264,0.9076,0.28571,0.81021,0.58614,0.81959,2.68652,0.77987,0.00036577,0.00036577,0.00036577
25,125.375,0.62064,0.98829,0.79317,0.84503,0.28571,0.8569,0.60419,0.82306,2.51536,0.77795,0.00036747,0.00036747,0.00036747
26,129.972,0.65568,0.98382,0.75826,0.84503,0.28571,0.8569,0.60419,0.82306,2.51536,0.77795,0.000368039,0.000368039,0.000368039
27,134.468,0.66804,0.97559,0.78535,0.84503,0.28571,0.8569,0.60419,0.82306,2.51536,0.77795,0.000367476,0.000367476,0.000367476
28,139.507,0.79822,2.30975,0.77385,0.85399,0.62898,0.89068,0.62885,0.80316,2.30192,0.7835,0.000365781,0.000365781,0.000365781
29,144.006,0.69742,1.17833,0.77819,0.85399,0.62898,0.89068,0.62885,0.80316,2.30192,0.7835,0.000362955,0.000362955,0.000362955
30,149.311,0.72203,1.24173,0.79693,0.87321,0.79377,0.94933,0.68628,0.94391,2.06824,0.796,0.000358996,0.000358996,0.000358996
31,153.799,0.68809,0.87223,0.76205,0.87321,0.79377,0.94933,0.68628,0.94391,2.06824,0.796,0.000353906,0.000353906,0.000353906
32,158.845,0.85006,1.00412,0.82477,0.87321,0.79377,0.94933,0.68628,0.94391,2.06824,0.796,0.000347684,0.000347684,0.000347684
33,163.941,0.65439,0.98176,0.80568,0.83766,0.8725,0.96026,0.69003,0.935,1.86788,0.7959,0.000340331,0.000340331,0.000340331
34,168.651,0.69192,1.36847,0.79858,0.83766,0.8725,0.96026,0.69003,0.935,1.86788,0.7959,0.000331845,0.000331845,0.000331845
35,173.343,0.7256,0.95044,0.80382,0.83766,0.8725,0.96026,0.69003,0.935,1.86788,0.7959,0.000322228,0.000322228,0.000322228
36,178.441,0.88354,2.09473,0.80862,0.88603,0.89861,0.97426,0.79919,0.80931,1.75122,0.78521,0.000311479,0.000311479,0.000311479
37,183.278,0.63746,0.84819,0.81961,0.88603,0.89861,0.97426,0.79919,0.80931,1.75122,0.78521,0.000299598,0.000299598,0.000299598
38,187.803,0.91145,1.91299,0.79035,0.88603,0.89861,0.97426,0.79919,0.80931,1.75122,0.78521,0.000286586,0.000286586,0.000286586
39,192.585,0.64605,0.94442,0.79734,0.8949,0.94361,0.98917,0.83017,0.66639,1.59814,0.77701,0.000272442,0.000272442,0.000272442
40,197.375,0.52038,0.93212,0.80984,0.8949,0.94361,0.98917,0.83017,0.66639,1.59814,0.77701,0.000257166,0.000257166,0.000257166
41,202.04,0.70986,0.95456,0.789,0.8949,0.94361,0.98917,0.83017,0.66639,1.59814,0.77701,0.000240758,0.000240758,0.000240758
42,207.224,0.65511,0.94347,0.77834,0.89692,0.96215,0.995,0.86523,0.60163,1.42192,0.77488,0.000223218,0.000223218,0.000223218
43,211.926,0.52957,0.85441,0.78057,0.89692,0.96215,0.995,0.86523,0.60163,1.42192,0.77488,0.000204547,0.000204547,0.000204547
44,216.876,0.61735,1.02912,0.77949,0.89692,0.96215,0.995,0.86523,0.60163,1.42192,0.77488,0.000184744,0.000184744,0.000184744
45,221.499,0.57074,0.75457,0.77769,0.89692,0.96215,0.995,0.86523,0.60163,1.42192,0.77488,0.000163809,0.000163809,0.000163809
46,226.58,0.57731,0.78284,0.80973,0.90262,0.96567,0.995,0.88381,0.5826,1.26967,0.77729,0.000141743,0.000141743,0.000141743
47,231.181,0.61516,0.7538,0.7747,0.90262,0.96567,0.995,0.88381,0.5826,1.26967,0.77729,0.000118544,0.000118544,0.000118544
48,235.807,0.57963,1.21353,0.76621,0.90262,0.96567,0.995,0.88381,0.5826,1.26967,0.77729,9.4214e-05,9.4214e-05,9.4214e-05
49,240.771,0.68671,2.05804,0.78888,0.90262,0.96567,0.995,0.88381,0.5826,1.26967,0.77729,6.8752e-05,6.8752e-05,6.8752e-05
50,245.342,0.67552,0.78495,0.79004,0.90479,0.94774,0.995,0.87711,0.57476,1.14473,0.77926,4.21584e-05,4.21584e-05,4.21584e-05
